number,What is your favorite type of movies or games?,Which character or monster type do you like best?,User visual style preference,User color preference
1,Science Fiction/Thriller,Alien/Extraterrestrial,Dystopian/Dark/Satirical/Horror,Dark/Black & White
2,Cyberpunk/Future City/Artificial Intelligence,Mecha Control/Anti-Hero Hacker,Mechanical/Futuristic,Fluorescent/Dark Black/Silver/Metallic
3,Nordic Mythology/Polar Adventure/Unknown Ecology,Heptapod,Sense of light and shadow/Texture/Detachment,Grey blue/Snow white
4,Backroom/Creepy/Psychedelic Art,Dystopian Combo/Bluntman,Absurd/Abstract/Strange/Surrealmemes,Colourful/Vintage
5,Dystopia/Experimental Film/A24/David Lynch,Lynchian monster,Dystopia/horror/visual art/cult classic,Dark/Black & White
6,Gothic/Horror Short Film,Clowns,Dark/Fantasy/Gothic/Decadent,Blood red/Black & White
7,Anti-Utopia/Philosophy,Geometric constructs/consciousness/biomechanics,Minimalist/Industrial/Visual Deconstruction/Counter Narrative,Grey-blue/metallic/low saturation
8,Monster vs. Monster / Pixel Indie Game,Giant Creatures/Violent Monsters/Mimetic Mutants,Retro Pixel/Vibrant/Visual Impact/Arcade Style,"Highly saturated red, green and yellow/pixel limited palette"
9,"JRPG, Teen Battle",Summoned Beasts/Mecha Dragons/Anthropomorphic Gods,Gorgeous/technological/metallic armour/symmetrical beauty,Red and gold colour scheme/blue and purple energy style
10,Science Fiction Movies/Marvel/Superheroism,Iron Man/Spider Man,Futuristic/realistic style/metallic machinery,Red/Blue/Metallic 